Name;Hours without subtasks;Hours with subtasks
     Prototyping & Testing;-;17h 1m
          Testovanie Sentinel 2.0;2h 48m;17h 1m
               Test nr.1;3h 53m;3h 53m
               Nastavenie testov - Jarino;3h 29m;3h 29m
               Priprava bug-ov na meeting;2h;3h 28m
                    Priprava dokumentov;1h 28m;1h 28m
               Testovanie meeting - Tomas, Marek;1h 13m;1h 13m
               Zber informacii;1h 10m;1h 10m
               Konzultacia - Kukuca;58m 5s;58m 5s
     Customer project / product maintenance;-;11h 33m
          Vyhody Sentinel 2.0;7h 16m;7h 46m
               Talk - Peto;29m 56s;29m 56s
          Sentinel Datasheet;2h 13m;2h 13m
          Upgrade Definicneho suboru - referencovanie Strain;1h 26m;1h 26m
          Testovanie FTP;7m 46s;7m 46s
1875 - S-line Scan 800 - Attenuation / Max. number of sensors testing;-;115h 16m
     Testing & evaluation;-;84h 24m
          Testovanie maximalneho poctu sniamcov na kanal;15h 23m;29h 18m
               Vyhodnotenie;1h 40m;7h 9m
                    Logaritmizacia;2h 31m;2h 31m
                    Diskusia - Jardo;2h 13m;2h 13m
                    Problemy - Tomas - Margarethe;43m 41s;43m 41s
               Splitter testy;4h 18m;4h 18m
               postupne odstranenie snimacov;2h 27m;2h 27m
          Testovanie polarizacie;39m 37s;21h 46m
               Testovanie depolarizatora;8h 13m;8h 13m
               Tesovanie Polarizatora od Potroka;7h 40m;7h 40m
               Nove teplotne testy - deploarizator;2h 24m;2h 24m
               Vysvetlenie nefunkcnosti DEPOL - Potrok;1h 30m;1h 30m
               Hladania snimacov / upratanie;42m 50s;42m 50s
               Talk - Edo;35m;35m
          Vyhodnotenie;-;20h 16m
               Testovanie depolarizacie;8h 4m;8h 4m
               Postupne odstranenie snimacov;7h 2m;7h 2m
               Synchronizacia udajov;2h 35m;2h 35m
               Sumarizacia zisteni;1h 46m;2h 33m
                    Talk - Jardo;47m 40s;47m 40s
          Talk - Jardo;5h 21m;7h 13m
               Mail chalanom - objednanie vlakna;1h 43m;1h 52m
                    Talk - Tomas;8m 58s;8m 58s
          Vstupna kontrola - Micron + Sline 800;2h 18m;2h 18m
          Vstupna kontrola - 400;1h 48m;1h 48m
