Hours without subtasks;Hours with subtasks
7m 39s;7m 39s
1h 5m;2h 2m
56m 52s;56m 52s
12m;12m
-;47h 12m
-;39h 52m
2h 33m;36h 54m
9h 22m;22h 16m
10h 23m;10h 36m
13m;13m
1h 4m;1h 4m
24m 45s;24m 45s
23m 13s;23m 13s
14m;14m
11m 17s;11m 17s
2h 48m;4h 49m
1h 48m;1h 48m
11m 41s;11m 41s
2h 59m;2h 59m
1h 23m;1h 23m
1h 18m;1h 18m
1h 4m;1h 4m
30m 37s;30m 37s
-;2h 36m
1h 10m;1h 10m
1h 5m;1h 5m
13m 9s;13m 9s
7m 19s;7m 19s
21m 25s;21m 25s
-;3h 46m
46m 13s;3h 46m
2h 53m;2h 53m
7m;7m
-;3h 33m
2h 37m;2h 37m
31m;31m
24m 54s;24m 54s
-;44h 12m
-;37h 34m
-;29h 48m
-;23h
3h 19m;23h
4h 7m;6h 17m
2h 9m;2h 9m
2h 25m;3h 17m
26m 41s;26m 41s
19m 26s;19m 26s
5m 52s;5m 52s
2h 21m;2h 21m
2h 16m;2h 16m
1h 36m;1h 36m
1h 25m;1h 25m
1h 13m;1h 13m
34m 11s;34m 11s
22m 17s;22m 17s
15m 8s;15m 8s
-;4h
2h 5m;2h 5m
1h 28m;1h 28m
26m;26m
-;1h 59m
1h 8m;1h 8m
34m 19s;34m 19s
-;16m 7s
16m 7s;16m 7s
-;48m
48m;48m
-;7h 46m
-;7h 46m
3h 46m;7h 46m
1h 38m;1h 38m
1h 24m;1h 24m
37m 1s;37m 1s
15m;15m
5m 46s;5m 46s
-;4h
3h 3m;3h 3m
47m;57m
10m;10m
-;2h 37m
2h 37m;2h 37m
-;41h 54m
-;33h 15m
4h 30m;33h 15m
11h 47m;13h 21m
1h 10m;1h 10m
24m 15s;24m 15s
7h 52m;7h 52m
6h 6m;6h 6m
58m 44s;58m 44s
25m 58s;25m 58s
-;6h 6m
2h 34m;5h 51m
2h 16m;2h 16m
50m 51s;50m 51s
9m 31s;9m 31s
14m 49s;14m 49s
-;2h 32m
17m 42s;2h 32m
1h 7m;1h 7m
55m 29s;1h 7m
12m;12m
-;41h 30m
-;28h 2m
8h 46m;8h 46m
-;4h 37m
2h 23m;2h 23m
1h 27m;1h 27m
47m;47m
-;3h 14m
2h 53m;2h 53m
21m;21m
1h 1m;3h 7m
2h 6m;2h 6m
3h 1m;3h 1m
-;1h 18m
1h 18m;1h 18m
1h 17m;1h 17m
1h 1m;1h 1m
40m;40m
25m 34s;25m 34s
21m 4s;21m 4s
11m;11m
-;11h 7m
26m 36s;10h 42m
4h 6m;4h 6m
2h;2h
1h 39m;1h 39m
41m 10s;41m 10s
28m 51s;28m 51s
27m 49s;27m 49s
27m;27m
25m 12s;25m 12s
25m 8s;25m 8s
-;2h 20m
1h 45m;1h 45m
31m;31m
4m;4m
-;38h 56m
1h 9m;28h 26m
19m 32s;17h 53m
1h 46m;17h 34m
3h 31m;11h 58m
6h 38m;6h 38m
1h 48m;1h 48m
3h 48m;3h 48m
3h 42m;3h 42m
2h 54m;2h 54m
2h 10m;2h 10m
35m 47s;35m 47s
2h 20m;10h 2m
4h 49m;4h 49m
2h 25m;2h 25m
26m 41s;26m 41s
28m;28m
-;38h 28m
-;38h 28m
5m 1s;38h 28m
-;26h 31m
18m;17h 37m
6h 1m;6h 1m
2h 32m;2h 32m
2h 21m;2h 21m
2h 7m;2h 7m
1h 56m;1h 56m
1h 39m;1h 39m
20m 51s;20m 51s
20m 33s;20m 33s
3h 21m;3h 21m
1h 57m;1h 57m
47m 23s;47m 23s
45m 53s;45m 53s
10m 39s;45m 39s
35m;35m
45m;45m
30m 46s;30m 46s
-;8h 31m
8h 31m;8h 31m
-;3h 20m
2h 1m;2h 18m
16m 48s;16m 48s
20m 49s;20m 49s
20m 40s;20m 40s
15m 54s;15m 54s
4m 44s;4m 44s
42m 39s;38h
-;29h
20m 5s;20h 10m
-;10h 24m
25m 33s;8h 44m
2h 13m;2h 13m
2h 8m;2h 8m
1h 39m;1h 39m
1h 15m;1h 15m
46m 50s;46m 50s
15m;15m
1h 10m;1h 10m
30m;30m
-;7h 29m
26s;6h 2m
2h 58m;2h 58m
1h 52m;1h 52m
1h 11m;1h 11m
1h 15m;1h 15m
11m 58s;11m 58s
-;1h 20m
58m 43s;58m 43s
20m 54s;20m 54s
1m 6s;1m 6s
-;36m
36m;36m
-;5h 7m
-;5h 7m
4h 58m;4h 58m
8m 56s;8m 56s
1m 2s;2h 22m
-;2h 21m
2h 3m;2h 3m
18m 10s;18m 10s
-;1h 19m
-;1h 19m
51m 52s;51m 52s
28m;28m
-;4h 28m
51s;2h 47m
2h 46m;2h 46m
1h 1m;1h 1m
30m;30m
10m 8s;10m 8s
-;2h 54m
1h 40m;2h 54m
-;50m 7s
50m 7s;50m 7s
-;23m 55s
23m 55s;23m 55s
-;53m 32s
47m 2s;47m 2s
6m 30s;6m 30s
3m 50s;35h 29m
-;35h 17m
-;35h 17m
-;27h 20m
-;21h 30m
15h 34m;15h 34m
5h 7m;5h 7m
48m 35s;48m 35s
1h 57m;3h 27m
1h 30m;1h 30m
1h 23m;2h 23m
48m;48m
12m;12m
-;7h 56m
1h 47m;7h 49m
4h 31m;4h 31m
1h 24m;1h 24m
4m 59s;4m 59s
7m;7m
7m 56s;7m 56s
13m 36s;31h 46m
-;25h 44m
1h 10m;24h 7m
13h 23m;13h 40m
17m;17m
4h 2m;4h 2m
2h 56m;2h 56m
1h 55m;1h 55m
23m 19s;23m 19s
1h 21m;1h 21m
16m 27s;16m 27s
-;4h 1m
2h 20m;3h 21m
36m;36m
25m 5s;25m 5s
40m;40m
-;1h 46m
1h 31m;1h 31m
15m;15m
-;28h 17m
-;28h 17m
15h 38m;15h 38m
12h 38m;12h 38m
-;23h 27m
-;18h 22m
-;18h 22m
-;6h 32m
3h 3m;3h 59m
55m 52s;55m 52s
2h 32m;2h 32m
-;4h 25m
2h 25m;2h 51m
25m 18s;25m 18s
1h 34m;1h 34m
-;2h 49m
2h 49m;2h 49m
-;2h 44m
1h 31m;1h 39m
8m;8m
1h 5m;1h 5m
-;1h 49m
3m 8s;1h 49m
1h;1h
46m 6s;46m 6s
-;3h 43m
-;3h 43m
-;3h 43m
3h 36m;3h 36m
6m 18s;6m 18s
-;1h 22m
1h 13m;1h 13m
9m 18s;9m 18s
-;22h 22m
51m 28s;10h 5m
2h 9m;6h 4m
3h 14m;3h 14m
41m 18s;41m 18s
2h 19m;3h 9m
50m;50m
4h 27m;6h 57m
59m 13s;59m 13s
52m 21s;52m 21s
23m 46s;23m 46s
15m;15m
1h 40m;2h 20m
40m 30s;40m 30s
1h 54m;1h 54m
1h;1h
4m 54s;4m 54s
39s;19h 58m
-;17h 26m
-;14h 22m
-;11h 50m
5h 52m;11h 50m
3h 5m;5h 57m
1h 11m;1h 11m
1h 10m;1h 10m
31m 23s;31m 23s
-;2h 32m
1h 32m;1h 32m
58m 1s;58m 1s
2m 34s;2m 34s
-;3h 3m
-;1h 42m
1h 42m;1h 42m
1h 21m;1h 21m
-;2h 31m
2h 31m;2h 31m
23m;17h 17m
8h;8h
3h 35m;3h 35m
2h 58m;2h 58m
58m;58m
40m;40m
18m 14s;18m 14s
13m 52s;13m 52s
10m;10m
-;12h 53m
5h 4m;5h 4m
29m 8s;1h 58m
1h 24m;1h 24m
5m 24s;5m 24s
1h 41m;1h 52m
11m;11m
1h 13m;1h 13m
1h 6m;1h 6m
1h;1h
40m;40m
-;11h 20m
-;8h 23m
3h 4m;3h 16m
12m 6s;12m 6s
1h 24m;1h 24m
1h 6m;1h 6m
53m 2s;53m 2s
51m 6s;51m 6s
32m 42s;32m 42s
19m 14s;19m 14s
-;2h 57m
1h 7m;2h 21m
1h 13m;1h 13m
36m 14s;36m 14s
-;10h 36m
-;10h 36m
7h 54m;10h 36m
1h 32m;1h 32m
37m 42s;37m 42s
17m 53s;17m 53s
13m 35s;13m 35s
-;8h 35m
3h 50m;3h 50m
1h 54m;1h 54m
1h 21m;1h 21m
1h 15m;1h 15m
14m 31s;14m 31s
-;8h 23m
-;8h 23m
3h 17m;3h 17m
2h 30m;2h 30m
1h 46m;1h 46m
